NO,stock,name,sector
217,076340,관악산업,064201
218,009290,광동제약,032102
219,014200,광림,033001
220,017040,광명전기,032801
221,017900,광전자,032601
222,037710,광주신세계,074701
223,192530,광주은행,116401
224,026910,광진실업,032401
225,090150,광진윈텍,033003
226,223040,교보5호스팩,116601
227,267320,교보7호스팩,116601
228,242040,교보비엔케이스팩,116601
229,030610,교보증권,116601
230,223220,구름컴퍼니,105802
231,053270,구영테크,033003
232,007690,국도화학,032001
233,005320,국동,074604
234,001140,국보,084903
235,066620,국보디자인,064204
236,043650,국순당,031101
237,006050,국영지앤엠,032301
238,060480,국일신동,032402
239,078130,국일제지,031709
240,002720,국제약품,032102
241,243870,굿센,106201
242,019010,그랜드백화점,074701
243,186230,그린플러스,032402
244,014530,극동유화,031902
245,272420,극동자동화,064203
246,900070,글로벌에스엠,116409
247,019660,글로본,074608
248,014280,금강공업,032401
249,053260,금강철강,032401
250,008870,금비,032301
251,001570,금양,032001
252,002990,금호산업,064101
253,011780,금호석유화학,032001
254,214330,금호에이치티,033003
255,001210,금호전기,032804
256,073240,금호타이어,032201
257,036190,금화피에스시,064203
258,049080,기가레인,032902
259,035460,기산텔레콤,032604
260,092440,기신정기,032902
261,000270,기아자동차,033001
262,024110,기업은행,116401
263,013700,까뮤이앤씨,064101
264,004540,깨끗한나라,031701
265,187790,나노,032001
266,214610,나노바이오시스,032701
267,151910,나노스,032703
268,121600,나노신소재,032004
269,039860,나노엔텍,032701
270,091970,나노캠텍,032202
271,244880,나눔테크,032701
272,051490,나라엠앤디,032902
273,007460,나라케이아이씨,032509
274,190510,나무가,032602
275,167380,나무기술,105802
276,089600,나스미디어,137103
277,138610,나이벡,032103
278,130580,나이스디앤비,147509
279,036800,나이스정보통신,106102
280,001260,남광토건,064102
281,008350,남선알미늄,032402
282,004270,남성,074607
283,003920,남양유업,031005
284,002070,남영비비안,031401
285,025860,남해화학,032003
286,091590,남화토건,064101
287,168330,내츄럴엔도텍,137001
288,072770,네오디안테크놀로지,106201
289,212560,네오오토,033003
290,095660,네오위즈,105802
291,042420,네오위즈홀딩스,116409
292,085910,네오티스,033003
293,092730,네오팜,032004
294,101400,네오피델리티,032601
295,153460,네이블커뮤니케이션즈,105802
296,007390,네이처셀,031102
297,086220,네추럴FNP,031007
298,033640,네패스,032601
299,087730,네패스신소재,032002
300,005720,넥센,116409
301,002350,넥센타이어,032201
302,073070,넥센테크,033003
303,089140,넥스턴,032902
304,065170,넥스트BT,074603
305,139670,넥스트리밍,105802
306,051980,넥스트바이오홀딩스,032604
307,137940,넥스트아이,032702
308,092600,넥스트칩,032601
309,041140,넥슨지티,105802
310,217270,넵튠,105802
311,225570,넷게임즈,105802
312,251270,넷마블게임즈,105802
313,090350,노루페인트,032004
314,000320,노루홀딩스,116409
315,229500,노브메타파마,137001
316,006280,녹십자,032102
317,144510,녹십자랩셀,137309
318,031390,녹십자셀,032101
319,142280,녹십자엠에스,032103
320,005250,녹십자홀딩스,137105
321,004370,농심,031007
322,072710,농심홀딩스,116409
323,054050,농우바이오,010101
324,040160,누리텔레콤,105802
325,069140,누리플랜,032501
326,126870,뉴로스,032901
327,060260,뉴보텍,032202
328,012340,뉴인텍,032602
329,222040,뉴트리바이오텍,031007
